,DivLog
1871-08-18,0.00019622230538977168
1871-08-21,0.00019622230538977168
1871-08-22,0.00019622230538977168
1871-08-23,0.00019622230538977168
1871-08-24,0.00019622230538977168
1871-08-25,0.00019622230538977168
1871-08-28,0.00019622230538977168
1871-08-29,0.00019622230538977168
1871-08-30,0.00019622230538977168
1871-08-31,0.00019622230538977168
1871-09-01,0.00021269494871594273
1871-09-04,0.00021269494871594273
1871-09-05,0.00021269494871594273
1871-09-06,0.00021269494871594273
1871-09-07,0.00021269494871594273
1871-09-08,0.00021269494871594273
1871-09-11,0.00021269494871594273
1871-09-12,0.00021269494871594273
1871-09-13,0.00021269494871594273
1871-09-14,0.00021269494871594273
1871-09-15,0.00021269494871594273
1871-09-18,0.00021269494871594273
1871-09-19,0.00021269494871594273
